date,Alberta,BritishColumbia,Canada,Manitoba,NewBrunswick,NewfoundlandAndLabrador,NovaScotia,Ontario,PrinceEdwardIsland,Quebec,Saskatchewan
2005-07-01T00:00:00,774.32,717.79,732.72,664.86,650.55,687.90,655.07,771.46,594.02,694.08,675.98
2005-08-01T00:00:00,788.82,721.83,737.25,668.22,650.25,684.16,658.37,775.08,589.19,695.62,685.14
2005-09-01T00:00:00,797.72,732.94,750.15,676.45,662.76,687.48,667.95,789.46,602.71,712.43,685.41
2005-10-01T00:00:00,806.67,727.07,745.00,672.92,664.33,694.49,665.19,784.10,605.55,697.21,693.74
2005-11-01T00:00:00,813.68,734.55,744.12,669.69,663.52,689.05,664.16,780.22,611.13,692.79,691.75
2005-12-01T00:00:00,795.73,731.04,744.96,671.90,663.38,689.01,665.35,782.10,625.42,703.33,688.49
2006-01-01T00:00:00,809.20,737.46,745.92,675.30,667.62,696.36,670.78,784.57,624.49,688.28,703.69
2006-02-01T00:00:00,820.63,745.92,750.88,676.03,667.28,696.93,668.33,787.84,615.44,694.78,697.29
2006-03-01T00:00:00,810.53,733.18,750.57,677.82,666.39,697.16,669.46,785.61,619.78,709.13,694.58
2006-04-01T00:00:00,820.94,744.35,750.57,675.59,668.49,706.22,667.61,783.55,621.81,699.77,705.73
2006-05-01T00:00:00,824.64,748.70,750.35,671.65,666.57,706.87,662.60,782.20,628.00,698.94,702.60
2006-06-01T00:00:00,809.03,742.35,753.77,691.44,671.62,702.87,678.54,784.84,627.40,715.48,707.28
2006-07-01T00:00:00,817.47,739.37,750.98,680.69,666.76,703.26,675.41,782.64,608.19,707.15,707.14
2006-08-01T00:00:00,817.20,733.75,754.22,678.08,666.59,701.91,677.12,784.06,607.28,722.64,701.03
2006-09-01T00:00:00,827.29,748.30,757.15,694.70,680.08,713.53,675.86,793.66,625.31,700.16,710.12
2006-10-01T00:00:00,842.57,751.64,761.69,692.35,680.81,713.90,671.73,796.44,622.92,704.99,717.13
2006-11-01T00:00:00,822.22,736.59,760.42,689.81,687.34,706.36,677.32,791.94,630.17,726.38,705.60
2006-12-01T00:00:00,845.36,766.66,773.45,717.12,698.05,726.71,686.59,806.65,647.11,717.51,726.55
2007-01-01T00:00:00,854.96,762.68,773.73,707.73,696.82,729.26,681.76,807.77,642.43,714.54,732.72
2007-02-01T00:00:00,853.84,758.66,776.53,714.22,700.51,721.53,685.84,809.89,645.75,724.67,732.27
2007-03-01T00:00:00,850.70,759.08,784.01,724.61,708.73,731.68,702.86,816.33,661.79,741.70,738.86
2007-04-01T00:00:00,857.63,766.23,781.52,719.08,703.84,738.92,689.61,815.20,648.19,728.52,733.57
2007-05-01T00:00:00,849.73,757.83,784.79,711.28,709.09,728.27,701.21,815.04,645.08,752.91,734.84
2007-06-01T00:00:00,874.78,781.65,792.83,735.08,709.27,740.65,706.09,827.65,644.68,733.70,754.63
2007-07-01T00:00:00,878.76,770.76,788.23,723.46,699.33,737.91,693.87,819.07,625.36,737.81,746.20
2007-08-01T00:00:00,863.34,761.89,784.12,723.55,701.18,727.78,697.54,814.41,627.68,741.36,739.08
2007-09-01T00:00:00,889.34,773.30,790.83,725.99,706.19,740.20,688.71,820.11,637.27,737.29,761.11
2007-10-01T00:00:00,898.35,777.97,793.56,732.68,713.49,743.79,686.09,823.31,640.49,734.54,757.42
2007-11-01T00:00:00,886.73,778.59,799.17,739.94,719.72,741.63,699.24,830.69,657.05,748.61,756.88
2007-12-01T00:00:00,890.70,782.80,799.48,736.98,723.41,741.36,702.30,828.37,664.98,746.40,769.23
2008-01-01T00:00:00,884.75,769.03,797.52,727.19,717.77,741.54,701.96,829.96,656.31,749.64,758.43
2008-02-01T00:00:00,922.82,794.93,809.57,752.05,724.79,751.24,703.08,844.43,662.03,735.04,776.17
2008-03-01T00:00:00,919.04,788.66,808.43,742.82,721.88,757.38,703.61,836.65,657.41,749.81,774.82
2008-04-01T00:00:00,916.76,792.34,810.42,745.34,722.86,762.49,707.55,837.25,664.16,755.15,781.84
2008-05-01T00:00:00,899.01,785.46,806.89,742.78,726.55,760.89,714.59,834.92,669.08,759.39,769.62
2008-06-01T00:00:00,922.17,792.15,811.88,745.33,724.78,765.74,712.56,842.92,647.95,750.63,784.30
2008-07-01T00:00:00,905.63,774.61,807.36,737.05,733.85,758.90,720.38,831.80,654.23,768.93,773.56
2008-08-01T00:00:00,922.40,793.14,805.97,746.93,733.82,770.91,715.99,833.26,650.44,736.34,791.19
2008-09-01T00:00:00,945.23,799.70,813.15,748.01,732.90,773.05,713.48,838.19,649.94,743.16,796.66
2008-10-01T00:00:00,929.89,791.18,817.93,749.84,741.10,774.91,717.62,845.80,664.81,762.61,790.85
2008-11-01T00:00:00,952.59,796.00,818.72,747.92,738.73,788.43,716.72,846.39,664.67,749.08,797.31
2008-12-01T00:00:00,946.64,789.85,814.47,757.94,736.79,780.99,724.78,837.50,681.49,749.77,790.61
2009-01-01T00:00:00,945.00,792.58,815.09,763.32,742.42,775.89,720.94,842.29,688.51,741.62,797.72
2009-02-01T00:00:00,963.38,793.71,824.64,766.19,745.60,784.47,727.75,853.11,699.09,752.92,797.78
2009-03-01T00:00:00,962.10,798.70,824.29,768.18,746.40,799.76,728.00,851.62,694.32,751.39,796.16
2009-04-01T00:00:00,935.00,788.63,817.56,753.26,741.42,797.85,728.52,847.22,696.95,755.58,783.11
2009-05-01T00:00:00,942.96,794.39,815.67,753.14,742.13,805.45,733.46,840.15,695.54,750.67,790.75
2009-06-01T00:00:00,952.69,793.85,822.73,762.49,741.58,798.01,733.04,845.78,689.47,766.27,802.48
2009-07-01T00:00:00,940.03,788.56,819.08,764.90,756.55,803.36,728.98,840.52,686.50,767.99,792.20
2009-08-01T00:00:00,932.93,785.32,815.98,759.85,749.25,789.07,730.70,841.15,674.05,761.01,796.63
2009-09-01T00:00:00,951.29,797.21,825.84,775.83,762.58,799.43,735.82,850.76,687.65,764.06,811.70
2009-10-01T00:00:00,947.97,803.06,825.31,778.88,748.29,812.18,714.57,851.96,695.79,760.59,812.38
2009-11-01T00:00:00,960.62,797.56,828.30,766.44,752.76,822.36,725.05,856.30,687.27,762.12,814.68
2009-12-01T00:00:00,947.44,809.36,834.32,767.55,758.38,820.61,742.45,865.50,691.88,767.77,825.17
2010-01-01T00:00:00,961.69,802.01,833.23,764.38,755.16,816.06,737.71,865.90,677.03,759.51,832.46
2010-02-01T00:00:00,984.82,812.78,847.87,776.32,761.98,837.14,756.30,882.54,715.00,770.93,827.17
2010-03-01T00:00:00,991.31,814.25,845.81,772.40,761.71,836.21,747.40,875.16,711.22,770.79,835.17
2010-04-01T00:00:00,990.27,814.64,845.36,772.82,763.12,836.03,748.46,871.83,724.46,775.21,835.04
2010-05-01T00:00:00,983.03,817.80,844.65,770.62,749.74,830.15,756.30,869.84,729.36,779.82,831.17
2010-06-01T00:00:00,992.43,810.73,851.70,777.77,754.39,836.27,763.68,877.90,707.19,791.92,844.28
2010-07-01T00:00:00,983.72,818.63,849.38,780.06,753.29,826.95,766.62,877.27,683.01,784.63,834.27
2010-08-01T00:00:00,997.12,817.24,852.95,779.57,750.13,834.42,757.10,882.11,679.73,784.93,847.53
2010-09-01T00:00:00,994.17,819.94,862.50,787.00,763.27,844.44,762.74,898.03,692.13,795.99,846.10
2010-10-01T00:00:00,1007.02,830.21,860.25,795.67,765.73,836.01,759.11,886.04,712.84,789.55,862.21
2010-11-01T00:00:00,1011.40,824.79,864.23,789.56,769.37,849.03,757.47,891.88,718.23,797.76,859.20
2010-12-01T00:00:00,994.73,834.72,868.07,801.81,778.68,856.01,778.99,895.94,732.23,804.14,860.52
2011-01-01T00:00:00,1030.23,833.90,871.06,796.66,784.91,864.03,755.24,900.04,717.14,791.25,881.43
2011-02-01T00:00:00,1042.48,842.21,877.32,800.25,785.16,882.71,760.68,903.91,718.23,800.47,859.99
2011-03-01T00:00:00,1027.54,831.42,873.52,797.22,787.89,879.89,764.78,900.66,733.39,802.88,862.46
2011-04-01T00:00:00,1032.66,842.27,869.47,799.87,790.98,873.17,761.80,889.91,723.85,793.53,873.00
2011-05-01T00:00:00,1031.81,844.69,869.04,800.12,782.27,869.87,761.41,889.35,728.64,796.45,849.61
2011-06-01T00:00:00,1024.12,837.09,871.32,801.67,776.84,861.85,773.11,892.24,714.54,809.42,851.75
2011-07-01T00:00:00,1016.42,828.60,864.90,799.38,780.81,872.43,768.31,882.32,694.13,804.26,865.03
